"lt_desc";"year";"date_ref";"sex";"age";"mx";"qx";"ax";"lx";"dx";"Lx";"Sx";"Tx";"ex"
"TABMORT CELADE 1950-1962";1950;1950.5;"f";40;0.00936;0.009316;0.5;0.64763;0.006033;0.644613;0.990871;18.824589;29.066901
"TABMORT CELADE 1950-1962";1950;1950.5;"f";41;0.009751;0.009703;0.5;0.641596;0.006226;0.638484;0.990491;18.179976;28.335533
"TABMORT CELADE 1950-1962";1950;1950.5;"f";42;0.010138;0.010087;0.5;0.635371;0.006409;0.632166;0.990106;17.541492;27.608278
"TABMORT CELADE 1950-1962";1950;1950.5;"f";43;0.010508;0.010453;0.5;0.628962;0.006574;0.625675;0.989731;16.909326;26.884509
"TABMORT CELADE 1950-1962";1950;1950.5;"f";44;0.010863;0.010804;0.5;0.622387;0.006724;0.619025;0.989373;16.283652;26.163209
"TABMORT CELADE 1950-1962";1950;1950.5;"f";45;0.011222;0.01116;0.5;0.615663;0.006871;0.612228;0.989019;15.664626;25.443505
"TABMORT CELADE 1950-1962";1950;1950.5;"f";46;0.011612;0.011545;0.5;0.608792;0.007028;0.605278;0.988649;15.052399;24.725008
"TABMORT CELADE 1950-1962";1950;1950.5;"f";47;0.012061;0.011988;0.5;0.601764;0.007214;0.598157;0.988235;14.44712;24.007941
"TABMORT CELADE 1950-1962";1950;1950.5;"f";48;0.012585;0.012506;0.5;0.59455;0.007436;0.590832;0.987754;13.848963;23.293186
"TABMORT CELADE 1950-1962";1950;1950.5;"f";49;0.013186;0.0131;0.5;0.587114;0.007691;0.583269;0.987199;13.258131;22.58185
"TABMORT CELADE 1950-1962";1950;1950.5;"f";50;0.01385;0.013754;0.5;0.579423;0.00797;0.575439;0.986575;12.674862;21.874956
"TABMORT CELADE 1950-1962";1950;1950.5;"f";51;0.014545;0.01444;0.5;0.571454;0.008252;0.567328;0.985905;12.099424;21.173058
"TABMORT CELADE 1950-1962";1950;1950.5;"f";52;0.015251;0.015135;0.5;0.563202;0.008524;0.55894;0.985215;11.532096;20.47596
"TABMORT CELADE 1950-1962";1950;1950.5;"f";53;0.015951;0.015825;0.5;0.554677;0.008778;0.550289;0.984522;10.973156;19.782949
"TABMORT CELADE 1950-1962";1950;1950.5;"f";54;0.01666;0.016522;0.5;0.5459;0.009019;0.54139;0.983829;10.422868;19.093012
"TABMORT CELADE 1950-1962";1950;1950.5;"f";55;0.017415;0.017264;0.5;0.53688;0.009269;0.532246;0.98311;9.881478;18.405372
"TABMORT CELADE 1950-1962";1950;1950.5;"f";56;0.018266;0.018101;0.5;0.527611;0.00955;0.522836;0.982321;9.349232;17.719927
"TABMORT CELADE 1950-1962";1950;1950.5;"f";57;0.019277;0.019093;0.5;0.518061;0.009891;0.513115;0.981408;8.826396;17.037368
"TABMORT CELADE 1950-1962";1950;1950.5;"f";58;0.020496;0.020288;0.5;0.50817;0.01031;0.503015;0.980315;8.313281;16.359265
"TABMORT CELADE 1950-1962";1950;1950.5;"f";59;0.021953;0.021715;0.5;0.49786;0.010811;0.492454;0.979006;7.810266;15.687677
"TABMORT CELADE 1950-1962";1950;1950.5;"f";60;0.023661;0.023384;0.5;0.487049;0.011389;0.481354;0.97746;7.317812;15.024795
"TABMORT CELADE 1950-1962";1950;1950.5;"f";61;0.025603;0.02528;0.5;0.47566;0.012025;0.469647;0.975679;6.836457;14.372582
"TABMORT CELADE 1950-1962";1950;1950.5;"f";62;0.027762;0.027382;0.5;0.463635;0.012695;0.457287;0.973683;6.36681;13.732371
"TABMORT CELADE 1950-1962";1950;1950.5;"f";63;0.030121;0.029674;0.5;0.45094;0.013381;0.444249;0.971488;5.909522;13.104904
"TABMORT CELADE 1950-1962";1950;1950.5;"f";64;0.032678;0.032152;0.5;0.437559;0.014069;0.430524;0.969106;5.465273;12.490377
"TABMORT CELADE 1950-1962";1950;1950.5;"f";65;0.035461;0.034843;0.5;0.42349;0.014756;0.416112;0.966524;5.034749;11.888704
"TABMORT CELADE 1950-1962";1950;1950.5;"f";66;0.038518;0.03779;0.5;0.408734;0.015446;0.401011;0.96371;4.618636;11.29985
"TABMORT CELADE 1950-1962";1950;1950.5;"f";67;0.04192;0.041059;0.5;0.393288;0.016148;0.385214;0.960607;4.217625;10.724002
"TABMORT CELADE 1950-1962";1950;1950.5;"f";68;0.045752;0.044729;0.5;0.37714;0.016869;0.368706;0.957144;3.832411;10.161768
"TABMORT CELADE 1950-1962";1950;1950.5;"f";69;0.050105;0.048881;0.5;0.360271;0.01761;0.351466;0.953243;3.463705;9.614163
"TABMORT CELADE 1950-1962";1950;1950.5;"f";70;0.055077;0.053601;0.5;0.342661;0.018367;0.333477;0.948818;3.112239;9.082565
"TABMORT CELADE 1950-1962";1950;1950.5;"f";71;0.060762;0.058971;0.5;0.324294;0.019124;0.314732;0.943788;2.778762;8.56865
"TABMORT CELADE 1950-1962";1950;1950.5;"f";72;0.067248;0.065061;0.5;0.30517;0.019855;0.295243;0.938077;2.46403;8.074281
"TABMORT CELADE 1950-1962";1950;1950.5;"f";73;0.074592;0.07191;0.5;0.285316;0.020517;0.275057;0.93163;2.168787;7.60136
"TABMORT CELADE 1950-1962";1950;1950.5;"f";74;0.082813;0.079521;0.5;0.264798;0.021057;0.25427;0.924426;1.89373;7.151589
"TABMORT CELADE 1950-1962";1950;1950.5;"f";75;0.091858;0.087825;0.5;0.243742;0.021406;0.233038;0.916499;1.63946;6.726223
"TABMORT CELADE 1950-1962";1950;1950.5;"f";76;0.101636;0.09672;0.5;0.222335;0.021504;0.211583;0.907932;1.406422;6.325686
"TABMORT CELADE 1950-1962";1950;1950.5;"f";77;0.11203;0.106087;0.5;0.200831;0.021306;0.190178;0.898834;1.194839;5.949483
"TABMORT CELADE 1950-1962";1950;1950.5;"f";78;0.122947;0.115827;0.5;0.179525;0.020794;0.169128;0.889316;1.004661;5.596213
"TABMORT CELADE 1950-1962";1950;1950.5;"f";79;0.1344;0.125937;0.5;0.158731;0.01999;0.148736;0.879429;0.835533;5.263819
"TABMORT CELADE 1950-1962";1950;1950.5;"f";80;0.14647;0.136475;0.5;0.138741;0.018935;0.129274;0.869148;0.686796;4.950202
"TABMORT CELADE 1950-1962";1950;1950.5;"f";81;0.159363;0.147602;0.5;0.119806;0.017684;0.110965;0.858369;0.557523;4.653532
"TABMORT CELADE 1950-1962";1950;1950.5;"f";82;0.173303;0.159483;0.5;0.102123;0.016287;0.093979;0.846931;0.446558;4.372762
"TABMORT CELADE 1950-1962";1950;1950.5;"f";83;0.188454;0.172226;0.5;0.085836;0.014783;0.078444;0.834697;0.352579;4.107598
"TABMORT CELADE 1950-1962";1950;1950.5;"f";84;0.204926;0.18588;0.5;0.071053;0.013207;0.064449;0.82159;0.274135;3.858191
"TABMORT CELADE 1950-1962";1950;1950.5;"f";85;0.222671;0.200363;0.5;0.057845;0.01159;0.05205;0.80762;0.209686;3.624936
"TABMORT CELADE 1950-1962";1950;1950.5;"f";86;0.241578;0.215543;0.5;0.046255;0.00997;0.04127;0.792892;0.157635;3.407944
"TABMORT CELADE 1950-1962";1950;1950.5;"f";87;0.26149;0.231254;0.5;0.036285;0.008391;0.03209;0.77755;0.116365;3.206951
