"lt_desc";"year";"date_ref";"sex";"age";"mx";"qx";"ax";"lx";"Lx";"Tx";"Sx";"ex"
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";7;0.0061218408861346;0.00610315960014721;0.5;0.755195366979866;0.752890828052881;40.4778205477091;0.993111494818025;53.5991378093138
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";8;0.00503938395091462;0.0050267181694801;0.5;0.750586289125897;0.748699796257241;39.7249297196563;0.994433413664396;52.9252003336197
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";9;0.00430938158372701;0.00430011616302659;0.5;0.746813303388585;0.745207611410252;38.976229923399;0.995335667427124;52.190058407568
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";10;0.00383440118127206;0.00382706393204115;0.5;0.74360191943192;0.742179013389093;38.2310223119888;0.995935900311823;51.4132915918179
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";11;0.00355220379966028;0.00354590590943791;0.5;0.740756107346266;0.73944278161702;37.4888432985997;0.996313245561097;50.6088885758934
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";12;0.00341841377608619;0.00341258096918765;0.5;0.738129455887774;0.736869992620795;36.7494005169826;0.996520638161347;49.7872022635689
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";13;0.0034059616508784;0.0034001712244799;0.5;0.735610529353815;0.734359928476648;36.0125305243618;0.996593613297756;48.9559747819223
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";14;0.00348929603625526;0.00348321904505161;0.5;0.733109327599482;0.731832537413482;35.2781705958852;0.996558375579657;48.1212955118185
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";15;0.00364695042047659;0.00364031240105574;0.5;0.730555747227482;0.729226021654335;34.5463380584717;0.996438371313252;47.2877507152299
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";16;0.00385781105067611;0.0038503840236582;0.5;0.727896296081187;0.726494955946532;33.8171120368174;0.996254843317841;46.4586950351036
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";17;0.00409484532101963;0.00408647857218924;0.5;0.725093615811876;0.723612076049953;33.0906170808709;0.996031796404116;45.636337652511
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";18;0.00434274381643592;0.0043333345355565;0.5;0.72213053628803;0.720565919691992;32.3670050048209;0.995790346155374;44.8215431675236
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";19;0.00458543452899021;0.00457494547252124;0.5;0.719001303095953;0.717356607217785;31.6464390851289;0.995546122309562;44.0144391239102
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";20;0.00481889658038496;0.00480731360683455;0.5;0.715711911339617;0.713991585534639;30.9290824779111;0.995309136837539;43.2144302587061
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";21;0.00504742040857175;0.00503471424884628;0.5;0.712271259729661;0.710478218599459;30.2150908923765;0.995079260027204;42.4207638306851
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";22;0.00527544700677207;0.0052615684440226;0.5;0.708685177469256;0.706820779685997;29.504612673777;0.994852144910689;41.6328908968284
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";23;0.00550961878471635;0.00549448253262932;0.5;0.704956381902738;0.703019696639422;28.797791894091;0.994622281693157;40.8504591679322
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";24;0.0057508801006315;0.00573439120250365;0.5;0.701083011376107;0.699072869249777;28.0947721974516;0.994385893583762;40.0733889447789
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";25;0.0059950143378194;0.00597709794388334;0.5;0.697062727123448;0.694979521026924;27.3956993282018;0.994144604371149;39.3016270447497
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";26;0.0062382369510134;0.00621883965335441;0.5;0.6928963149304;0.690741809390924;26.7007198071749;0.993902393512635;38.5349427206247
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";27;0.00647232839096875;0.00645145043805218;0.5;0.688587303851448;0.686366110419913;26.009977997784;0.993665217724595;37.7729560976559
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";28;0.00669561144544438;0.00667327063183385;0.5;0.684144916988378;0.68186217489715;25.3236118873641;0.993437998388342;37.014982145653
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";29;0.00690863696280026;0.00688485448271885;0.5;0.679579432805921;0.677240030053763;24.6417497124669;0.993221291613537;36.2602935329037
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";30;0.00711462479304479;0.00708940556275243;0.5;0.674900627301604;0.672508305170855;23.9645096824132;0.993013223269552;35.5082047830187
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";31;0.00732498692902297;0.00729825711005507;0.5;0.670115983040107;0.667670643671215;23.2920013772423;0.992806540138696;34.7581642084908
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";32;0.00754399210711673;0.00751564313088707;0.5;0.665225304302323;0.662725506307937;22.6243307335711;0.992593447966969;34.0100272603116
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";33;0.00777799922421522;0.00774786776946511;0.5;0.660225708313551;0.657668037570543;21.9616052272631;0.992368682525034;33.2637838101773
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";34;0.00802358124578574;0.00799152093702791;0.5;0.655110366827536;0.652492702721253;21.3039371896926;0.992130779430291;32.5196154242833
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";35;0.00827535626251695;0.00824125659532837;0.5;0.64987503861497;0.647197145140907;20.6514444869714;0.991884112177408;31.7775622387101
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";36;0.00852658824373047;0.00849039120879767;0.5;0.644519251666845;0.641783141372718;20.0042473418304;0.991634691517358;31.0374706265108
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";37;0.00876798350892165;0.00872971252120985;0.5;0.639047031078592;0.636257682644167;19.3624642004577;0.991390458283568;30.2989658957925
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";38;0.00900047173330748;0.00896014894963378;0.5;0.633468334209743;0.630630348895045;18.7262065178136;0.991155574380279;29.5613932165601
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";39;0.0092317889246654;0.00918937175447162;0.5;0.627792363580347;0.624907854873568;18.0955761689185;0.990925755426291;28.8241418957664
